tiempo,cola_v,cola_p,fase
354.0,11,6,VERDE_PEATONAL
372.0,17,0,AMARILLO_PEATONAL
372.0,17,0,VERDE_VEHICULAR
435.0,12,4,VERDE_PEATONAL
453.0,16,0,AMARILLO_PEATONAL
453.0,16,0,VERDE_VEHICULAR
496.0,1,10,VERDE_PEATONAL
514.0,9,4,AMARILLO_PEATONAL
514.0,9,4,VERDE_VEHICULAR
537.0,5,4,VERDE_PEATONAL
555.0,13,1,AMARILLO_PEATONAL
555.0,13,1,VERDE_VEHICULAR
578.0,6,4,VERDE_PEATONAL
596.0,13,0,AMARILLO_PEATONAL
596.0,13,0,VERDE_VEHICULAR
659.0,18,9,VERDE_PEATONAL
677.0,23,1,AMARILLO_PEATONAL
677.0,23,1,VERDE_VEHICULAR
720.0,3,7,VERDE_PEATONAL
738.0,11,0,AMARILLO_PEATONAL
738.0,11,0,VERDE_VEHICULAR
771.0,3,6,VERDE_PEATONAL
789.0,6,0,AMARILLO_PEATONAL
789.0,6,0,VERDE_VEHICULAR
817.0,3,3,VERDE_PEATONAL
835.0,11,0,AMARILLO_PEATONAL
835.0,11,0,VERDE_VEHICULAR
873.0,4,1,VERDE_PEATONAL
891.0,9,0,AMARILLO_PEATONAL
891.0,9,0,VERDE_VEHICULAR
929.0,3,2,VERDE_PEATONAL
947.0,6,0,AMARILLO_PEATONAL
947.0,6,0,VERDE_VEHICULAR
970.0,2,2,VERDE_PEATONAL
988.0,6,1,AMARILLO_PEATONAL
988.0,6,1,VERDE_VEHICULAR
1011.0,3,2,VERDE_PEATONAL
1029.0,6,1,AMARILLO_PEATONAL
1029.0,6,1,VERDE_VEHICULAR
1052.0,2,2,VERDE_PEATONAL
1070.0,9,1,AMARILLO_PEATONAL
1070.0,9,1,VERDE_VEHICULAR
1098.0,4,2,VERDE_PEATONAL
1116.0,8,1,AMARILLO_PEATONAL
1116.0,8,1,VERDE_VEHICULAR
1154.0,5,3,VERDE_PEATONAL
1172.0,7,1,AMARILLO_PEATONAL
1172.0,7,1,VERDE_VEHICULAR
1200.0,3,4,VERDE_PEATONAL
1218.0,6,1,AMARILLO_PEATONAL
1218.0,6,1,VERDE_VEHICULAR
1241.0,2,4,VERDE_PEATONAL
1259.0,5,0,AMARILLO_PEATONAL
1259.0,5,0,VERDE_VEHICULAR
1317.0,6,1,VERDE_PEATONAL
1335.0,9,0,AMARILLO_PEATONAL
1335.0,9,0,VERDE_VEHICULAR
1358.0,5,4,VERDE_PEATONAL
1376.0,13,0,AMARILLO_PEATONAL
1376.0,13,0,VERDE_VEHICULAR
1419.0,7,7,VERDE_PEATONAL
1437.0,11,1,AMARILLO_PEATONAL
1437.0,11,1,VERDE_VEHICULAR
1470.0,4,6,VERDE_PEATONAL
1488.0,12,1,AMARILLO_PEATONAL
1488.0,12,1,VERDE_VEHICULAR
1541.0,3,6,VERDE_PEATONAL
1559.0,11,1,AMARILLO_PEATONAL
1559.0,11,1,VERDE_VEHICULAR
1582.0,6,1,VERDE_PEATONAL
1600.0,11,0,AMARILLO_PEATONAL
1600.0,11,0,VERDE_VEHICULAR
1623.0,6,3,VERDE_PEATONAL
1641.0,13,0,AMARILLO_PEATONAL
1641.0,13,0,VERDE_VEHICULAR
1664.0,6,2,VERDE_PEATONAL
1682.0,11,1,AMARILLO_PEATONAL
1682.0,11,1,VERDE_VEHICULAR
1735.0,4,4,VERDE_PEATONAL
1753.0,8,0,AMARILLO_PEATONAL
1753.0,8,0,VERDE_VEHICULAR
1786.0,5,2,VERDE_PEATONAL
1804.0,7,0,AMARILLO_PEATONAL
1804.0,7,0,VERDE_VEHICULAR
1827.0,4,1,VERDE_PEATONAL
1845.0,10,1,AMARILLO_PEATONAL
1845.0,10,1,VERDE_VEHICULAR
1908.0,13,1,VERDE_PEATONAL
1926.0,22,1,AMARILLO_PEATONAL
1926.0,22,1,VERDE_VEHICULAR
1959.0,5,3,VERDE_PEATONAL
1977.0,14,1,AMARILLO_PEATONAL
1977.0,14,1,VERDE_VEHICULAR
2015.0,3,4,VERDE_PEATONAL
2033.0,8,1,AMARILLO_PEATONAL
2033.0,8,1,VERDE_VEHICULAR
2056.0,1,4,VERDE_PEATONAL
2074.0,8,1,AMARILLO_PEATONAL
2074.0,8,1,VERDE_VEHICULAR
2097.0,1,3,VERDE_PEATONAL
2115.0,8,1,AMARILLO_PEATONAL
2115.0,8,1,VERDE_VEHICULAR
2148.0,4,6,VERDE_PEATONAL
2166.0,8,3,AMARILLO_PEATONAL
2166.0,8,3,VERDE_VEHICULAR
2194.0,1,7,VERDE_PEATONAL
2212.0,6,1,AMARILLO_PEATONAL
2212.0,6,1,VERDE_VEHICULAR
2235.0,0,1,VERDE_PEATONAL
2253.0,8,1,AMARILLO_PEATONAL
2253.0,8,1,VERDE_VEHICULAR
2276.0,1,4,VERDE_PEATONAL
2294.0,7,0,AMARILLO_PEATONAL
2294.0,7,0,VERDE_VEHICULAR
2317.0,2,2,VERDE_PEATONAL
2335.0,8,0,AMARILLO_PEATONAL
2335.0,8,0,VERDE_VEHICULAR
2398.0,8,12,VERDE_PEATONAL
2416.0,13,0,AMARILLO_PEATONAL
2416.0,13,0,VERDE_VEHICULAR
2479.0,2,9,VERDE_PEATONAL
2497.0,6,2,AMARILLO_PEATONAL
2497.0,6,2,VERDE_VEHICULAR
2525.0,4,6,VERDE_PEATONAL
2543.0,11,0,AMARILLO_PEATONAL
2543.0,11,0,VERDE_VEHICULAR
2606.0,11,8,VERDE_PEATONAL
2624.0,21,1,AMARILLO_PEATONAL
2624.0,21,1,VERDE_VEHICULAR
2687.0,16,4,VERDE_PEATONAL
2705.0,20,1,AMARILLO_PEATONAL
2705.0,20,1,VERDE_VEHICULAR
2768.0,17,11,VERDE_PEATONAL
2786.0,26,1,AMARILLO_PEATONAL
2786.0,26,1,VERDE_VEHICULAR
2849.0,13,2,VERDE_PEATONAL
2867.0,24,0,AMARILLO_PEATONAL
2867.0,24,0,VERDE_VEHICULAR
2930.0,24,6,VERDE_PEATONAL
2948.0,31,0,AMARILLO_PEATONAL
2948.0,31,0,VERDE_VEHICULAR
3011.0,13,5,VERDE_PEATONAL
