tiempo,fase,duracion,ciclo,cola_v,cola_p,extension,tiempo_total,motivo
311.0,VERDE_VEHICULAR_EXTENSION,5,7,16,0,1.0,25.0,
316.0,VERDE_VEHICULAR_EXTENSION,5,7,13,1,2.0,30.0,
321.0,VERDE_VEHICULAR_EXTENSION,5,7,12,1,3.0,35.0,
326.0,VERDE_VEHICULAR_EXTENSION,5,7,10,1,4.0,40.0,
331.0,VERDE_VEHICULAR_EXTENSION,5,7,10,1,5.0,45.0,
336.0,VERDE_VEHICULAR_EXTENSION,5,7,10,3,6.0,50.0,
341.0,VERDE_VEHICULAR_EXTENSION,5,7,9,4,7.0,55.0,
346.0,VERDE_VEHICULAR_EXTENSION,5,7,8,4,8.0,60.0,
351.0,AMARILLO_VEHICULAR,3,7,8,6,,,
354.0,VERDE_PEATONAL,15,7,11,6,,,COLA_PEATONAL_ALTA
369.0,AMARILLO_PEATONAL,3,7,15,0,,,
372.0,VERDE_VEHICULAR_INICIAL,20,8,17,0,0.0,20.0,
392.0,VERDE_VEHICULAR_EXTENSION,5,8,16,1,1.0,25.0,
397.0,VERDE_VEHICULAR_EXTENSION,5,8,16,1,2.0,30.0,
402.0,VERDE_VEHICULAR_EXTENSION,5,8,14,2,3.0,35.0,
407.0,VERDE_VEHICULAR_EXTENSION,5,8,15,2,4.0,40.0,
412.0,VERDE_VEHICULAR_EXTENSION,5,8,13,2,5.0,45.0,
417.0,VERDE_VEHICULAR_EXTENSION,5,8,13,3,6.0,50.0,
422.0,VERDE_VEHICULAR_EXTENSION,5,8,14,4,7.0,55.0,
427.0,VERDE_VEHICULAR_EXTENSION,5,8,15,4,8.0,60.0,
432.0,AMARILLO_VEHICULAR,3,8,11,4,,,
435.0,VERDE_PEATONAL,15,8,12,4,,,COLA_PEATONAL_ALTA
450.0,AMARILLO_PEATONAL,3,8,16,0,,,
453.0,VERDE_VEHICULAR_INICIAL,20,9,16,0,0.0,20.0,
473.0,VERDE_VEHICULAR_EXTENSION,5,9,10,4,1.0,25.0,
478.0,VERDE_VEHICULAR_EXTENSION,5,9,7,5,2.0,30.0,
483.0,VERDE_VEHICULAR_EXTENSION,5,9,6,6,3.0,35.0,
488.0,VERDE_VEHICULAR_EXTENSION,5,9,5,8,4.0,40.0,
493.0,AMARILLO_VEHICULAR,3,9,0,9,,,
496.0,VERDE_PEATONAL,15,9,1,10,,,COLA_PEATONAL_ALTA
511.0,AMARILLO_PEATONAL,3,9,8,3,,,
514.0,VERDE_VEHICULAR_INICIAL,20,10,9,4,0.0,20.0,
534.0,AMARILLO_VEHICULAR,3,10,2,4,,,
537.0,VERDE_PEATONAL,15,10,5,4,,,COLA_PEATONAL_ALTA
552.0,AMARILLO_PEATONAL,3,10,12,0,,,
555.0,VERDE_VEHICULAR_INICIAL,20,11,13,1,0.0,20.0,
575.0,AMARILLO_VEHICULAR,3,11,4,2,,,
578.0,VERDE_PEATONAL,15,11,6,4,,,COLA_PEATONAL_ALTA
593.0,AMARILLO_PEATONAL,3,11,13,0,,,
596.0,VERDE_VEHICULAR_INICIAL,20,12,13,0,0.0,20.0,
616.0,VERDE_VEHICULAR_EXTENSION,5,12,13,2,1.0,25.0,
621.0,VERDE_VEHICULAR_EXTENSION,5,12,18,3,2.0,30.0,
626.0,VERDE_VEHICULAR_EXTENSION,5,12,16,3,3.0,35.0,
631.0,VERDE_VEHICULAR_EXTENSION,5,12,17,6,4.0,40.0,
636.0,VERDE_VEHICULAR_EXTENSION,5,12,19,7,5.0,45.0,
641.0,VERDE_VEHICULAR_EXTENSION,5,12,18,7,6.0,50.0,
646.0,VERDE_VEHICULAR_EXTENSION,5,12,16,7,7.0,55.0,
651.0,VERDE_VEHICULAR_EXTENSION,5,12,17,8,8.0,60.0,
656.0,AMARILLO_VEHICULAR,3,12,18,9,,,
659.0,VERDE_PEATONAL,15,12,18,9,,,COLA_PEATONAL_ALTA
674.0,AMARILLO_PEATONAL,3,12,21,0,,,
677.0,VERDE_VEHICULAR_INICIAL,20,13,23,1,0.0,20.0,
697.0,VERDE_VEHICULAR_EXTENSION,5,13,18,5,1.0,25.0,
702.0,VERDE_VEHICULAR_EXTENSION,5,13,16,6,2.0,30.0,
707.0,VERDE_VEHICULAR_EXTENSION,5,13,10,7,3.0,35.0,
