tiempo,cola_v,cola_p,fase
306.0,11,1,AMARILLO_PEATONAL
306.0,11,1,VERDE_VEHICULAR
339.0,12,4,VERDE_PEATONAL
357.0,12,0,AMARILLO_PEATONAL
357.0,12,0,VERDE_VEHICULAR
390.0,11,2,VERDE_PEATONAL
408.0,20,0,AMARILLO_PEATONAL
408.0,20,0,VERDE_VEHICULAR
441.0,20,3,VERDE_PEATONAL
459.0,22,1,AMARILLO_PEATONAL
459.0,22,1,VERDE_VEHICULAR
492.0,16,3,VERDE_PEATONAL
510.0,27,1,AMARILLO_PEATONAL
510.0,27,1,VERDE_VEHICULAR
543.0,19,3,VERDE_PEATONAL
561.0,26,0,AMARILLO_PEATONAL
561.0,26,0,VERDE_VEHICULAR
594.0,31,4,VERDE_PEATONAL
612.0,36,0,AMARILLO_PEATONAL
612.0,36,0,VERDE_VEHICULAR
645.0,24,2,VERDE_PEATONAL
663.0,37,0,AMARILLO_PEATONAL
663.0,37,0,VERDE_VEHICULAR
696.0,25,2,VERDE_PEATONAL
714.0,28,0,AMARILLO_PEATONAL
714.0,28,0,VERDE_VEHICULAR
747.0,26,0,VERDE_PEATONAL
765.0,30,0,AMARILLO_PEATONAL
765.0,30,0,VERDE_VEHICULAR
798.0,30,1,VERDE_PEATONAL
816.0,38,1,AMARILLO_PEATONAL
816.0,38,1,VERDE_VEHICULAR
849.0,30,6,VERDE_PEATONAL
867.0,37,1,AMARILLO_PEATONAL
867.0,37,1,VERDE_VEHICULAR
900.0,31,4,VERDE_PEATONAL
918.0,39,0,AMARILLO_PEATONAL
918.0,39,0,VERDE_VEHICULAR
951.0,25,4,VERDE_PEATONAL
969.0,29,1,AMARILLO_PEATONAL
969.0,29,1,VERDE_VEHICULAR
1002.0,25,5,VERDE_PEATONAL
1020.0,27,0,AMARILLO_PEATONAL
1020.0,27,0,VERDE_VEHICULAR
1053.0,21,4,VERDE_PEATONAL
1071.0,27,1,AMARILLO_PEATONAL
1071.0,27,1,VERDE_VEHICULAR
1104.0,31,4,VERDE_PEATONAL
1122.0,35,0,AMARILLO_PEATONAL
1122.0,35,0,VERDE_VEHICULAR
1155.0,33,3,VERDE_PEATONAL
1173.0,39,0,AMARILLO_PEATONAL
1173.0,39,0,VERDE_VEHICULAR
1206.0,35,5,VERDE_PEATONAL
1224.0,40,2,AMARILLO_PEATONAL
1224.0,40,2,VERDE_VEHICULAR
1257.0,34,4,VERDE_PEATONAL
1275.0,38,0,AMARILLO_PEATONAL
1275.0,38,0,VERDE_VEHICULAR
1308.0,31,4,VERDE_PEATONAL
1326.0,37,1,AMARILLO_PEATONAL
1326.0,37,1,VERDE_VEHICULAR
1359.0,34,4,VERDE_PEATONAL
1377.0,40,0,AMARILLO_PEATONAL
1377.0,40,0,VERDE_VEHICULAR
1410.0,46,3,VERDE_PEATONAL
1428.0,56,1,AMARILLO_PEATONAL
1428.0,56,1,VERDE_VEHICULAR
1461.0,46,5,VERDE_PEATONAL
1479.0,53,1,AMARILLO_PEATONAL
1479.0,53,1,VERDE_VEHICULAR
1512.0,35,4,VERDE_PEATONAL
1530.0,38,1,AMARILLO_PEATONAL
1530.0,38,1,VERDE_VEHICULAR
1563.0,29,3,VERDE_PEATONAL
1581.0,33,1,AMARILLO_PEATONAL
1581.0,33,1,VERDE_VEHICULAR
1614.0,24,5,VERDE_PEATONAL
1632.0,33,1,AMARILLO_PEATONAL
1632.0,33,1,VERDE_VEHICULAR
1665.0,27,4,VERDE_PEATONAL
1683.0,36,0,AMARILLO_PEATONAL
1683.0,36,0,VERDE_VEHICULAR
1716.0,32,2,VERDE_PEATONAL
1734.0,36,0,AMARILLO_PEATONAL
1734.0,36,0,VERDE_VEHICULAR
1767.0,32,3,VERDE_PEATONAL
1785.0,41,1,AMARILLO_PEATONAL
1785.0,41,1,VERDE_VEHICULAR
1818.0,33,7,VERDE_PEATONAL
1836.0,36,2,AMARILLO_PEATONAL
1836.0,36,2,VERDE_VEHICULAR
1869.0,35,3,VERDE_PEATONAL
1887.0,41,1,AMARILLO_PEATONAL
1887.0,41,1,VERDE_VEHICULAR
1920.0,35,3,VERDE_PEATONAL
1938.0,39,1,AMARILLO_PEATONAL
1938.0,39,1,VERDE_VEHICULAR
1971.0,39,4,VERDE_PEATONAL
1989.0,45,2,AMARILLO_PEATONAL
1989.0,45,2,VERDE_VEHICULAR
2022.0,42,5,VERDE_PEATONAL
2040.0,52,0,AMARILLO_PEATONAL
2040.0,52,0,VERDE_VEHICULAR
2073.0,43,3,VERDE_PEATONAL
2091.0,54,0,AMARILLO_PEATONAL
2091.0,54,0,VERDE_VEHICULAR
2124.0,52,1,VERDE_PEATONAL
2142.0,58,0,AMARILLO_PEATONAL
2142.0,58,0,VERDE_VEHICULAR
2175.0,46,5,VERDE_PEATONAL
2193.0,51,0,AMARILLO_PEATONAL
2193.0,51,0,VERDE_VEHICULAR
2226.0,44,7,VERDE_PEATONAL
2244.0,50,1,AMARILLO_PEATONAL
2244.0,50,1,VERDE_VEHICULAR
2277.0,45,5,VERDE_PEATONAL
2295.0,53,1,AMARILLO_PEATONAL
2295.0,53,1,VERDE_VEHICULAR
2328.0,46,4,VERDE_PEATONAL
2346.0,50,0,AMARILLO_PEATONAL
2346.0,50,0,VERDE_VEHICULAR
2379.0,47,6,VERDE_PEATONAL
2397.0,55,1,AMARILLO_PEATONAL
2397.0,55,1,VERDE_VEHICULAR
2430.0,41,7,VERDE_PEATONAL
2448.0,46,0,AMARILLO_PEATONAL
2448.0,46,0,VERDE_VEHICULAR
2481.0,39,3,VERDE_PEATONAL
2499.0,48,0,AMARILLO_PEATONAL
2499.0,48,0,VERDE_VEHICULAR
2532.0,44,4,VERDE_PEATONAL
2550.0,45,0,AMARILLO_PEATONAL
2550.0,45,0,VERDE_VEHICULAR
2583.0,36,2,VERDE_PEATONAL
2601.0,41,3,AMARILLO_PEATONAL
2601.0,41,3,VERDE_VEHICULAR
2634.0,31,5,VERDE_PEATONAL
2652.0,37,0,AMARILLO_PEATONAL
2652.0,37,0,VERDE_VEHICULAR
2685.0,38,4,VERDE_PEATONAL
2703.0,45,1,AMARILLO_PEATONAL
2703.0,45,1,VERDE_VEHICULAR
2736.0,41,5,VERDE_PEATONAL
2754.0,51,0,AMARILLO_PEATONAL
2754.0,51,0,VERDE_VEHICULAR
2787.0,47,2,VERDE_PEATONAL
2805.0,49,0,AMARILLO_PEATONAL
2805.0,49,0,VERDE_VEHICULAR
2838.0,37,6,VERDE_PEATONAL
2856.0,42,0,AMARILLO_PEATONAL
2856.0,42,0,VERDE_VEHICULAR
2889.0,37,2,VERDE_PEATONAL
2907.0,45,0,AMARILLO_PEATONAL
2907.0,45,0,VERDE_VEHICULAR
2940.0,37,1,VERDE_PEATONAL
2958.0,42,1,AMARILLO_PEATONAL
2958.0,42,1,VERDE_VEHICULAR
2991.0,39,9,VERDE_PEATONAL
3009.0,46,0,AMARILLO_PEATONAL
3009.0,46,0,VERDE_VEHICULAR
3042.0,44,1,VERDE_PEATONAL
3060.0,50,0,AMARILLO_PEATONAL
3060.0,50,0,VERDE_VEHICULAR
3093.0,40,6,VERDE_PEATONAL
3111.0,46,2,AMARILLO_PEATONAL
3111.0,46,2,VERDE_VEHICULAR
3144.0,44,3,VERDE_PEATONAL
3162.0,48,0,AMARILLO_PEATONAL
3162.0,48,0,VERDE_VEHICULAR
3195.0,39,5,VERDE_PEATONAL
3213.0,46,0,AMARILLO_PEATONAL
3213.0,46,0,VERDE_VEHICULAR
3246.0,36,2,VERDE_PEATONAL
3264.0,37,2,AMARILLO_PEATONAL
3264.0,37,2,VERDE_VEHICULAR
3297.0,33,7,VERDE_PEATONAL
3315.0,34,1,AMARILLO_PEATONAL
3315.0,34,1,VERDE_VEHICULAR
3348.0,29,8,VERDE_PEATONAL
3366.0,33,0,AMARILLO_PEATONAL
3366.0,33,0,VERDE_VEHICULAR
3399.0,25,4,VERDE_PEATONAL
3417.0,30,0,AMARILLO_PEATONAL
3417.0,30,0,VERDE_VEHICULAR
3450.0,20,3,VERDE_PEATONAL
3468.0,27,1,AMARILLO_PEATONAL
3468.0,27,1,VERDE_VEHICULAR
3501.0,18,1,VERDE_PEATONAL
3519.0,28,1,AMARILLO_PEATONAL
3519.0,28,1,VERDE_VEHICULAR
3552.0,19,5,VERDE_PEATONAL
3570.0,22,1,AMARILLO_PEATONAL
3570.0,22,1,VERDE_VEHICULAR
