tiempo,fase,duracion,ciclo,cola_v,cola_p
303.0,AMARILLO_PEATONAL,3,6,11,0
306.0,VERDE_VEHICULAR,30,7,11,1
336.0,AMARILLO_VEHICULAR,3,7,11,4
339.0,VERDE_PEATONAL,15,7,12,4
354.0,AMARILLO_PEATONAL,3,7,12,0
357.0,VERDE_VEHICULAR,30,8,12,0
387.0,AMARILLO_VEHICULAR,3,8,11,2
390.0,VERDE_PEATONAL,15,8,11,2
405.0,AMARILLO_PEATONAL,3,8,17,0
408.0,VERDE_VEHICULAR,30,9,20,0
438.0,AMARILLO_VEHICULAR,3,9,19,2
441.0,VERDE_PEATONAL,15,9,20,3
456.0,AMARILLO_PEATONAL,3,9,21,1
459.0,VERDE_VEHICULAR,30,10,22,1
489.0,AMARILLO_VEHICULAR,3,10,15,3
492.0,VERDE_PEATONAL,15,10,16,3
507.0,AMARILLO_PEATONAL,3,10,25,0
510.0,VERDE_VEHICULAR,30,11,27,1
540.0,AMARILLO_VEHICULAR,3,11,19,3
543.0,VERDE_PEATONAL,15,11,19,3
558.0,AMARILLO_PEATONAL,3,11,23,0
561.0,VERDE_VEHICULAR,30,12,26,0
591.0,AMARILLO_VEHICULAR,3,12,31,4
594.0,VERDE_PEATONAL,15,12,31,4
609.0,AMARILLO_PEATONAL,3,12,35,0
612.0,VERDE_VEHICULAR,30,13,36,0
642.0,AMARILLO_VEHICULAR,3,13,22,2
645.0,VERDE_PEATONAL,15,13,24,2
660.0,AMARILLO_PEATONAL,3,13,36,0
663.0,VERDE_VEHICULAR,30,14,37,0
693.0,AMARILLO_VEHICULAR,3,14,25,2
696.0,VERDE_PEATONAL,15,14,25,2
711.0,AMARILLO_PEATONAL,3,14,28,0
714.0,VERDE_VEHICULAR,30,15,28,0
744.0,AMARILLO_VEHICULAR,3,15,25,0
747.0,VERDE_PEATONAL,15,15,26,0
762.0,AMARILLO_PEATONAL,3,15,29,0
765.0,VERDE_VEHICULAR,30,16,30,0
795.0,AMARILLO_VEHICULAR,3,16,29,1
798.0,VERDE_PEATONAL,15,16,30,1
813.0,AMARILLO_PEATONAL,3,16,36,1
816.0,VERDE_VEHICULAR,30,17,38,1
846.0,AMARILLO_VEHICULAR,3,17,29,6
849.0,VERDE_PEATONAL,15,17,30,6
864.0,AMARILLO_PEATONAL,3,17,36,1
867.0,VERDE_VEHICULAR,30,18,37,1
897.0,AMARILLO_VEHICULAR,3,18,31,4
900.0,VERDE_PEATONAL,15,18,31,4
915.0,AMARILLO_PEATONAL,3,18,38,0
918.0,VERDE_VEHICULAR,30,19,39,0
948.0,AMARILLO_VEHICULAR,3,19,25,4
951.0,VERDE_PEATONAL,15,19,25,4
966.0,AMARILLO_PEATONAL,3,19,27,0
969.0,VERDE_VEHICULAR,30,20,29,1
999.0,AMARILLO_VEHICULAR,3,20,25,5
1002.0,VERDE_PEATONAL,15,20,25,5
1017.0,AMARILLO_PEATONAL,3,20,27,0
1020.0,VERDE_VEHICULAR,30,21,27,0
1050.0,AMARILLO_VEHICULAR,3,21,19,4
1053.0,VERDE_PEATONAL,15,21,21,4
1068.0,AMARILLO_PEATONAL,3,21,26,1
1071.0,VERDE_VEHICULAR,30,22,27,1
1101.0,AMARILLO_VEHICULAR,3,22,30,4
1104.0,VERDE_PEATONAL,15,22,31,4
1119.0,AMARILLO_PEATONAL,3,22,35,0
1122.0,VERDE_VEHICULAR,30,23,35,0
1152.0,AMARILLO_VEHICULAR,3,23,32,1
1155.0,VERDE_PEATONAL,15,23,33,3
1170.0,AMARILLO_PEATONAL,3,23,38,0
1173.0,VERDE_VEHICULAR,30,24,39,0
1203.0,AMARILLO_VEHICULAR,3,24,34,4
1206.0,VERDE_PEATONAL,15,24,35,5
1221.0,AMARILLO_PEATONAL,3,24,37,0
1224.0,VERDE_VEHICULAR,30,25,40,2
1254.0,AMARILLO_VEHICULAR,3,25,34,4
1257.0,VERDE_PEATONAL,15,25,34,4
1272.0,AMARILLO_PEATONAL,3,25,37,0
1275.0,VERDE_VEHICULAR,30,26,38,0
1305.0,AMARILLO_VEHICULAR,3,26,30,4
1308.0,VERDE_PEATONAL,15,26,31,4
1323.0,AMARILLO_PEATONAL,3,26,37,1
1326.0,VERDE_VEHICULAR,30,27,37,1
1356.0,AMARILLO_VEHICULAR,3,27,32,3
1359.0,VERDE_PEATONAL,15,27,34,4
1374.0,AMARILLO_PEATONAL,3,27,39,0
1377.0,VERDE_VEHICULAR,30,28,40,0
1407.0,AMARILLO_VEHICULAR,3,28,45,3
1410.0,VERDE_PEATONAL,15,28,46,3
1425.0,AMARILLO_PEATONAL,3,28,54,0
1428.0,VERDE_VEHICULAR,30,29,56,1
1458.0,AMARILLO_VEHICULAR,3,29,45,4
1461.0,VERDE_PEATONAL,15,29,46,5
1476.0,AMARILLO_PEATONAL,3,29,49,0
1479.0,VERDE_VEHICULAR,30,30,53,1
1509.0,AMARILLO_VEHICULAR,3,30,35,4
1512.0,VERDE_PEATONAL,15,30,35,4
1527.0,AMARILLO_PEATONAL,3,30,38,0
1530.0,VERDE_VEHICULAR,30,31,38,1
1560.0,AMARILLO_VEHICULAR,3,31,28,2
1563.0,VERDE_PEATONAL,15,31,29,3
1578.0,AMARILLO_PEATONAL,3,31,32,0
1581.0,VERDE_VEHICULAR,30,32,33,1
1611.0,AMARILLO_VEHICULAR,3,32,22,4
1614.0,VERDE_PEATONAL,15,32,24,5
1629.0,AMARILLO_PEATONAL,3,32,32,0
1632.0,VERDE_VEHICULAR,30,33,33,1
1662.0,AMARILLO_VEHICULAR,3,33,25,4
1665.0,VERDE_PEATONAL,15,33,27,4
1680.0,AMARILLO_PEATONAL,3,33,34,0
1683.0,VERDE_VEHICULAR,30,34,36,0
1713.0,AMARILLO_VEHICULAR,3,34,31,2
1716.0,VERDE_PEATONAL,15,34,32,2
1731.0,AMARILLO_PEATONAL,3,34,35,0
1734.0,VERDE_VEHICULAR,30,35,36,0
1764.0,AMARILLO_VEHICULAR,3,35,32,3
1767.0,VERDE_PEATONAL,15,35,32,3
1782.0,AMARILLO_PEATONAL,3,35,41,0
1785.0,VERDE_VEHICULAR,30,36,41,1
1815.0,AMARILLO_VEHICULAR,3,36,33,6
1818.0,VERDE_PEATONAL,15,36,33,7
1833.0,AMARILLO_PEATONAL,3,36,36,2
1836.0,VERDE_VEHICULAR,30,37,36,2
1866.0,AMARILLO_VEHICULAR,3,37,35,3
1869.0,VERDE_PEATONAL,15,37,35,3
1884.0,AMARILLO_PEATONAL,3,37,39,1
1887.0,VERDE_VEHICULAR,30,38,41,1
1917.0,AMARILLO_VEHICULAR,3,38,34,3
1920.0,VERDE_PEATONAL,15,38,35,3
1935.0,AMARILLO_PEATONAL,3,38,39,0
1938.0,VERDE_VEHICULAR,30,39,39,1
1968.0,AMARILLO_VEHICULAR,3,39,37,4
1971.0,VERDE_PEATONAL,15,39,39,4
1986.0,AMARILLO_PEATONAL,3,39,44,2
1989.0,VERDE_VEHICULAR,30,40,45,2
2019.0,AMARILLO_VEHICULAR,3,40,41,5
2022.0,VERDE_PEATONAL,15,40,42,5
2037.0,AMARILLO_PEATONAL,3,40,49,0
2040.0,VERDE_VEHICULAR,30,41,52,0
2070.0,AMARILLO_VEHICULAR,3,41,41,3
2073.0,VERDE_PEATONAL,15,41,43,3
2088.0,AMARILLO_PEATONAL,3,41,50,0
2091.0,VERDE_VEHICULAR,30,42,54,0
2121.0,AMARILLO_VEHICULAR,3,42,52,1
2124.0,VERDE_PEATONAL,15,42,52,1
2139.0,AMARILLO_PEATONAL,3,42,58,0
2142.0,VERDE_VEHICULAR,30,43,58,0
2172.0,AMARILLO_VEHICULAR,3,43,46,4
2175.0,VERDE_PEATONAL,15,43,46,5
